id,type,url,method,param,payload,evidence,severity,risk_score,risk_level,is_false_positive
1,csrf,https://webapp.com/settings,POST,,,No CSRF token found in form submission,medium,4.7,medium,False
2,csrf,https://securitytesting.io/product,POST,,,No CSRF token found in form submission,medium,4.4,medium,False
3,csrf,https://testsite.org/cart,DELETE,,,No CSRF token found in form submission,high,6.5,high,False
4,xss,https://vulnerableapp.net/login,PUT,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,6.3,high,True
5,csrf,https://testsite.org/search,GET,,,No CSRF token found in form submission,medium,4.8,medium,False
6,command_injection,https://testsite.org/cart,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,1.4,info,False
7,sql_injection,https://testsite.org/user,GET,category_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',high,6.2,high,False
8,file_inclusion,https://testsite.org/profile,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.5,high,False
9,file_inclusion,https://testsite.org/login,GET,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,6.0,high,False
10,xss,https://securitytesting.io/admin,DELETE,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,3.4,low,False
11,idor,https://testsite.org/register,POST,doc_id,660,Unauthorized access to resource doc_id=660,high,6.2,high,False
12,command_injection,https://vulnerableapp.net/search,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.4,medium,False
13,csrf,https://vulnerableapp.net/checkout,POST,,,No CSRF token found in form submission,medium,5.3,medium,False
14,xss,https://webapp.com/cart,DELETE,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,7.5,high,False
15,file_inclusion,https://example.com/admin,GET,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,6.5,high,False
16,xss,https://testsite.org/product,POST,message,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,6.2,high,True
17,file_inclusion,https://vulnerableapp.net/login,GET,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.7,medium,False
18,csrf,https://vulnerableapp.net/api/users,DELETE,,,No CSRF token found in form submission,low,1.9,info,False
19,csrf,https://testsite.org/search,GET,,,No CSRF token found in form submission,low,2.4,low,True
20,idor,https://securitytesting.io/register,POST,account_id,313,Unauthorized access to resource account_id=313,high,7.0,high,False
21,sql_injection,https://securitytesting.io/settings,PUT,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',low,4.0,medium,False
22,command_injection,https://vulnerableapp.net/profile,GET,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.2,medium,True
23,idor,https://example.com/settings,DELETE,user_id,162,Unauthorized access to resource user_id=162,medium,4.6,medium,True
24,xss,https://example.com/profile,PUT,search,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,2.5,low,False
25,file_inclusion,https://webapp.com/product,GET,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,4.6,medium,True
26,csrf,https://example.com/user,DELETE,,,No CSRF token found in form submission,high,5.7,medium,False
27,csrf,https://testsite.org/login,DELETE,,,No CSRF token found in form submission,medium,6.2,high,True
28,sql_injection,https://vulnerableapp.net/login,GET,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',info,2.3,low,False
29,file_inclusion,https://webapp.com/settings,GET,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,3.7,low,False
30,csrf,https://testsite.org/settings,PUT,,,No CSRF token found in form submission,critical,9.0,critical,False
31,sql_injection,https://vulnerableapp.net/login,POST,category_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,6.7,high,False
32,sql_injection,https://example.com/api/users,PUT,order_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',high,6.6,high,False
33,xss,https://webapp.com/product,DELETE,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.1,medium,False
34,idor,https://vulnerableapp.net/login,GET,user_id,694,Unauthorized access to resource user_id=694,medium,4.9,medium,True
35,sql_injection,https://example.com/checkout,DELETE,user_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",critical,10.0,critical,False
36,xss,https://example.com/user,PUT,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,7.9,high,False
37,sql_injection,https://webapp.com/profile,DELETE,product_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",low,3.1,low,False
38,idor,https://example.com/register,POST,file_id,49,Unauthorized access to resource file_id=49,info,0.1,info,True
39,command_injection,https://webapp.com/register,PUT,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,8.1,critical,False
40,xss,https://example.com/api/products,PUT,message,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.6,medium,False
41,sql_injection,https://example.com/cart,GET,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",low,3.2,low,True
42,idor,https://testsite.org/user,GET,user_id,441,Unauthorized access to resource user_id=441,high,5.7,medium,False
43,xss,https://testsite.org/cart,DELETE,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,critical,7.7,high,False
44,file_inclusion,https://vulnerableapp.net/register,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,0.4,info,False
45,file_inclusion,https://securitytesting.io/login,GET,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,3.9,low,False
46,csrf,https://vulnerableapp.net/profile,PUT,,,No CSRF token found in form submission,low,3.7,low,False
47,xss,https://testsite.org/product,POST,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,6.3,high,True
48,command_injection,https://securitytesting.io/search,GET,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,info,0.9,info,True
49,file_inclusion,https://example.com/api/products,DELETE,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,6.5,high,False
50,idor,https://securitytesting.io/settings,POST,account_id,624,Unauthorized access to resource account_id=624,info,0.6,info,True
51,xss,https://testsite.org/profile,DELETE,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.9,medium,False
52,xss,https://example.com/profile,DELETE,message,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.1,medium,False
53,idor,https://testsite.org/profile,PUT,account_id,204,Unauthorized access to resource account_id=204,low,2.1,low,False
54,xss,https://vulnerableapp.net/search,POST,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,7.3,high,True
55,sql_injection,https://example.com/cart,GET,user_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',info,0.2,info,False
56,sql_injection,https://securitytesting.io/register,GET,user_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',critical,8.4,critical,False
57,sql_injection,https://securitytesting.io/register,PUT,user_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.8,medium,False
58,csrf,https://example.com/login,GET,,,No CSRF token found in form submission,critical,9.4,critical,True
59,sql_injection,https://example.com/api/products,DELETE,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,6.9,high,False
60,command_injection,https://testsite.org/settings,GET,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,4.9,medium,False
61,sql_injection,https://webapp.com/register,DELETE,order_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',high,6.2,high,False
62,idor,https://testsite.org/cart,GET,user_id,707,Unauthorized access to resource user_id=707,medium,5.8,medium,False
63,command_injection,https://securitytesting.io/register,GET,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.3,medium,False
64,csrf,https://example.com/api/users,PUT,,,No CSRF token found in form submission,medium,3.6,low,False
65,idor,https://example.com/settings,PUT,user_id,362,Unauthorized access to resource user_id=362,info,0.2,info,False
66,idor,https://webapp.com/api/products,POST,user_id,142,Unauthorized access to resource user_id=142,low,3.5,low,False
67,xss,https://example.com/login,GET,message,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,4.0,medium,False
68,command_injection,https://webapp.com/admin,DELETE,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,2.0,low,True
69,sql_injection,https://securitytesting.io/register,DELETE,user_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.7,medium,False
70,command_injection,https://webapp.com/settings,GET,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,2.9,low,False
71,file_inclusion,https://securitytesting.io/settings,DELETE,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,6.2,high,False
72,idor,https://securitytesting.io/register,POST,account_id,118,Unauthorized access to resource account_id=118,medium,3.6,low,False
73,command_injection,https://testsite.org/api/products,PUT,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.8,low,False
74,file_inclusion,https://webapp.com/login,PUT,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.3,low,False
75,idor,https://testsite.org/register,DELETE,file_id,487,Unauthorized access to resource file_id=487,high,7.1,high,False
76,csrf,https://example.com/cart,POST,,,No CSRF token found in form submission,medium,6.1,high,False
77,idor,https://webapp.com/user,GET,doc_id,383,Unauthorized access to resource doc_id=383,high,7.7,high,True
78,file_inclusion,https://testsite.org/checkout,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,8.4,critical,False
79,command_injection,https://webapp.com/api/users,GET,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.2,low,False
80,command_injection,https://securitytesting.io/register,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.1,medium,True
81,csrf,https://example.com/checkout,POST,,,No CSRF token found in form submission,medium,5.2,medium,False
82,xss,https://securitytesting.io/login,GET,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.3,medium,True
83,csrf,https://webapp.com/search,GET,,,No CSRF token found in form submission,medium,6.1,high,False
84,csrf,https://webapp.com/api/users,GET,,,No CSRF token found in form submission,medium,6.5,high,False
85,idor,https://securitytesting.io/admin,POST,doc_id,168,Unauthorized access to resource doc_id=168,medium,5.9,medium,False
86,idor,https://securitytesting.io/login,GET,user_id,313,Unauthorized access to resource user_id=313,high,7.6,high,False
87,xss,https://testsite.org/settings,POST,q,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.4,medium,False
88,csrf,https://vulnerableapp.net/api/users,POST,,,No CSRF token found in form submission,medium,6.1,high,False
89,idor,https://testsite.org/profile,DELETE,doc_id,652,Unauthorized access to resource doc_id=652,high,8.8,critical,False
90,csrf,https://testsite.org/checkout,GET,,,No CSRF token found in form submission,medium,6.0,high,False
91,command_injection,https://webapp.com/admin,POST,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,critical,10.0,critical,False
92,sql_injection,https://example.com/register,PUT,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',info,0.7,info,True
93,csrf,https://testsite.org/register,POST,,,No CSRF token found in form submission,low,3.3,low,False
94,file_inclusion,https://webapp.com/checkout,GET,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,4.7,medium,False
95,idor,https://webapp.com/user,GET,user_id,680,Unauthorized access to resource user_id=680,medium,5.2,medium,False
96,csrf,https://securitytesting.io/login,POST,,,No CSRF token found in form submission,low,4.2,medium,False
97,xss,https://vulnerableapp.net/admin,DELETE,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.3,medium,False
98,idor,https://securitytesting.io/settings,POST,doc_id,8,Unauthorized access to resource doc_id=8,medium,4.7,medium,False
99,file_inclusion,https://vulnerableapp.net/cart,GET,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.8,medium,True
100,file_inclusion,https://webapp.com/register,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,5.4,medium,False
101,file_inclusion,https://testsite.org/profile,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,critical,9.1,critical,False
102,sql_injection,https://testsite.org/user,GET,category_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.4,medium,False
